URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,8,1,0.777777691,0.002228589,17.72727273,0.028182702,7.102182172,17.72727273,58,142,1.418282548,4,4.899713467
blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,53,23,0.394736837,0.000281754,25.91935484,0.036021677,10.38215061,25.91935484,339,689,1.623789765,6,5.71805853
blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,36,20,0.285714281,0.00027185,26.10869565,0.039358974,10.45922185,26.10869565,307,608,1.767186068,13,6.422454805
blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,33,60,-0.290322578,-0.000281867,31.42105263,0.039952217,12.58440194,31.42105263,301,589,1.799437676,5,6.315533981
blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,19,7,0.461538444,0.000684775,28.69230769,0.031107244,11.48936597,28.69230769,143,351,1.588652482,5,5.821958457
blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,75,24,0.51515151,0.000285878,33.2295082,0.037331094,13.30673572,33.2295082,489,1010,1.736051502,6,6.269700333
blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,21,34,-0.236363632,-0.000260312,22.26086957,0.032306662,8.917270491,22.26086957,193,463,1.592592593,1,5.580396476
blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,31,7,0.631578931,0.000840984,24.27777778,0.041147994,9.727570309,24.27777778,238,452,1.865311309,3,6.703062583
blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,36,37,-0.01369863,-1.49E-05,27.17948718,0.038423506,10.88716427,27.17948718,272,576,1.877229801,2,6.704026115
blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,55,51,0.037735849,2.44E-05,30.1754386,0.027922525,12.08134445,30.1754386,284,698,1.499059561,8,5.588082902
blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,58,13,0.633802808,0.000460613,30.62,0.039189329,12.26367573,30.62,379,760,1.709837226,2,6.029069767
blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,72,19,0.582417576,0.000355349,32.21428571,0.042384224,12.90266798,32.21428571,475,793,1.798573975,2,5.838316046
blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,40,11,0.56862744,0.000932176,34.63157895,0.03737852,13.86758299,34.63157895,150,292,1.633757962,3,5.580327869
blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,23,20,0.06976744,6.47E-05,20.79310345,0.033233061,8.330534604,20.79310345,232,536,1.508912656,3,5.476808905
blackassign0015,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,39,24,0.238095234,0.000197918,30.47727273,0.037249634,12.20580894,30.47727273,305,636,1.658478605,7,5.807148795
blackassign0016,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,39,24,0.238095234,0.000197918,30.47727273,0.037249634,12.20580894,30.47727273,305,636,1.658478605,7,5.807148795
blackassign0017,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,43,11,0.592592582,0.000546672,26.91111111,0.034213768,10.77812995,26.91111111,250,567,1.647747748,5,5.741697417
blackassign0018,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,37,6,0.720930216,0.000691872,36,0.037487761,14.4149951,36,268,553,1.63267148,1,5.861804223
blackassign0019,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,57,5,0.838709664,0.000503427,26.4084507,0.038061336,10.57860482,26.4084507,417,793,1.653402537,4,5.576830732
blackassign0020,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,8,0,0.999999875,0.001930502,32.44444444,0.026716372,12.98846433,32.44444444,86,196,1.479323308,1,5.216216216
blackassign0021,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,25,36,-0.180327866,-0.00017819,28.12195122,0.041733314,11.26547381,28.12195122,287,524,1.765503876,6,5.796442688
blackassign0022,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,13,8,0.238095227,0.000577901,20.04347826,0.030504497,8.029593103,20.04347826,78,176,1.53699284,6,5.208737864
blackassign0023,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,43,11,0.592592582,0.000430976,28.71698113,0.031953779,11.49957396,28.71698113,271,608,1.525978648,7,5.168727273
blackassign0024,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,24,2,0.846153814,0.001516405,44.85714286,0.036884118,17.95761079,44.85714286,134,283,1.59348199,1,5.512544803
blackassign0025,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,19,11,0.266666658,0.000261438,64.05555556,0.027155788,25.63308454,64.05555556,171,466,1.4359447,6,5.174509804
blackassign0026,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,26,13,0.333333325,0.000380084,30.48484848,0.033966913,12.20752616,30.48484848,193,447,1.553005464,2,5.48004561
blackassign0027,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,34,20,0.259259254,0.000195667,31.97826087,0.02626788,12.8018115,31.97826087,202,581,1.359180688,26,4.804528302
blackassign0028,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,35,23,0.206896548,0.000189119,44.46428571,0.031345354,17.79825243,44.46428571,226,535,1.540798611,9,5.591407678
blackassign0029,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,72,26,0.46938775,0.000267915,39.16,0.039612097,15.67984484,39.16,482,962,1.73476112,1,5.945776256
blackassign0030,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,56,28,0.333333329,0.000238265,25.34375,0.026,10.1479,25.34375,221,611,1.414078675,7,5.076483202
blackassign0031,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,65,32,0.340206182,0.000203473,29.25,0.034209579,11.71368383,29.25,380,854,1.625218914,3,5.644138756
blackassign0032,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,59,14,0.616438348,0.000391638,22.96052632,0.029993686,9.196208001,22.96052632,285,669,1.562189055,18,5.037484117
blackassign0033,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,58,19,0.5064935,0.000302746,34.50909091,0.029985856,13.81563071,34.50909091,318,773,1.516036655,17,5.339509863
blackassign0034,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,42,16,0.448275854,0.000364452,32.60465116,0.028993078,13.0534577,32.60465116,222,570,1.523734177,20,5.22601626
